47.89.18.26 - - [01/Sep/2017:12:30:39 +0800] "GET /solr/yesmywine/select?q=categoryId%3A29+OR+categoryIdParent%3A29+OR+categoryIdGrandpa%3A29&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 12536
47.89.18.26 - - [01/Sep/2017:12:30:45 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=60&fq=goodsPropString%3A50%3Fo%7C&wt=xml&version=2.2 HTTP/1.1" 200 465
47.89.18.26 - - [01/Sep/2017:12:30:45 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&rows=10000&fq=goodsPropString%3A50%3Fo%7C&wt=xml&version=2.2 HTTP/1.1" 200 443
47.89.18.26 - - [01/Sep/2017:12:30:46 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=60&fq=goodsPropString%3A50%3Fo%7C+AND+goodsPropString%3A2017&wt=xml&version=2.2 HTTP/1.1" 200 490
47.89.18.26 - - [01/Sep/2017:12:30:46 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&rows=10000&fq=goodsPropString%3A50%3Fo%7C+AND+goodsPropString%3A2017&wt=xml&version=2.2 HTTP/1.1" 200 468
47.89.18.26 - - [01/Sep/2017:12:30:47 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&rows=10000&fq=goodsPropString%3A50%3Fo%7C+AND+goodsPropString%3A2017+AND+goodsPropString%3A510ML&wt=xml&version=2.2 HTTP/1.1" 200 494
47.89.18.26 - - [01/Sep/2017:12:30:47 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=60&fq=goodsPropString%3A50%3Fo%7C+AND+goodsPropString%3A2017+AND+goodsPropString%3A510ML&wt=xml&version=2.2 HTTP/1.1" 200 516
47.89.18.26 - - [01/Sep/2017:12:30:48 +0800] "GET /solr/yesmywine/select?q=categoryId%3A29+OR+categoryIdParent%3A29+OR+categoryIdGrandpa%3A29&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 38247
47.89.18.26 - - [01/Sep/2017:12:30:48 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 13432
47.89.18.26 - - [01/Sep/2017:12:30:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 22065
