114.215.45.79 - - [24/Aug/2017:01:21:47 +0800] "GET / HTTP/1.1" 200 7783
47.93.127.220 - - [24/Aug/2017:02:16:44 +0800] "GET / HTTP/1.0" 200 7783
47.89.18.26 - - [24/Aug/2017:09:03:46 +0800] "GET /solr/yesmywine/select?q=categoryId%3A1+OR+categoryIdParent%3A1+OR+categoryIdGrandpa%3A1&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 420
47.89.18.26 - - [24/Aug/2017:09:03:46 +0800] "GET /solr/yesmywine/select?q=categoryId%3A1+OR+categoryIdParent%3A1+OR+categoryIdGrandpa%3A1&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 420
47.89.18.26 - - [24/Aug/2017:09:03:46 +0800] "GET /solr/yesmywine/select?q=categoryId%3A1+OR+categoryIdParent%3A1+OR+categoryIdGrandpa%3A1&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 398
47.93.90.175 - - [24/Aug/2017:09:30:12 +0800] "GET / HTTP/1.1" 200 7783
47.89.18.26 - - [24/Aug/2017:09:43:47 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [24/Aug/2017:09:43:47 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [24/Aug/2017:09:44:03 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [24/Aug/2017:09:44:03 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [24/Aug/2017:09:44:22 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [24/Aug/2017:09:44:22 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [24/Aug/2017:09:46:11 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 160
47.89.18.26 - - [24/Aug/2017:09:46:11 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [24/Aug/2017:09:49:29 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3746
47.89.18.26 - - [24/Aug/2017:09:49:29 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 3746
