0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/images/wx_hm.jpg HTTP/1.1" 200 8814
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/cart.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/logo.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/images/wx_cz.jpg HTTP/1.1" 200 7171
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/js/index.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/images/favicon.ico HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/js/transport.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/js/utils.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/cart.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/logo.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:42 +0800] "GET /struts2_day01/themes/ecmoban_qq/images/qq.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/login.jsp HTTP/1.1" 200 11118
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_jumei/style.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/index.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/user.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/transport.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_qq/images/qq.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/utils.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/cart.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/logo.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/index.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/transport.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/js/utils.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/images/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/logo.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/cart.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/images/wx_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/images/wx_hm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/themes/ecmoban_qq/images/qq.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:03:43 +0800] "GET /struts2_day01/images/pic1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/login.jsp HTTP/1.1" 200 11118
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/themes/ecmoban_jumei/style.css HTTP/1.1" 200 47415
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/js/user.js HTTP/1.1" 200 18216
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/js/utils.js HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/themes/ecmoban_qq/images/qq.css HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/js/transport.js HTTP/1.1" 200 19965
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/js/index.js HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/cart.gif HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:50 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/logo.gif HTTP/1.1" 200 6750
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/images/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/images/wx_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/images/wx_hm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/images/pic1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/HeadBj.jpg HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/headTop_icon.png HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/nav_new_line.jpg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/login_tab_bg.gif HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [03/Sep/2016:14:04:51 +0800] "GET /struts2_day01/themes/ecmoban_jumei/images/login_tab_li.gif HTTP/1.1" 200 1157
