119.23.150.253 - - [29/Aug/2017:02:31:20 +0800] "GET / HTTP/1.0" 200 7783
47.89.18.26 - - [29/Aug/2017:09:58:40 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 160
47.89.18.26 - - [29/Aug/2017:09:58:40 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [29/Aug/2017:09:58:40 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [29/Aug/2017:09:59:45 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [29/Aug/2017:09:59:45 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [29/Aug/2017:10:01:30 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%B9%B2%E7%BA%A2+OR+goodsEnName%3A%E5%B9%B2%E7%BA%A2+OR+categoryName%3A%E5%B9%B2%E7%BA%A2&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 1662
47.89.18.26 - - [29/Aug/2017:10:01:30 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%B9%B2%E7%BA%A2+OR+goodsEnName%3A%E5%B9%B2%E7%BA%A2+OR+categoryName%3A%E5%B9%B2%E7%BA%A2&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 1662
47.89.18.26 - - [29/Aug/2017:10:01:30 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%B9%B2%E7%BA%A2+OR+goodsEnName%3A%E5%B9%B2%E7%BA%A2+OR+categoryName%3A%E5%B9%B2%E7%BA%A2&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 1640
47.89.18.26 - - [29/Aug/2017:10:01:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E6%B1%BE%E9%85%92+OR+goodsEnName%3A%E6%B1%BE%E9%85%92+OR+categoryName%3A%E6%B1%BE%E9%85%92&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 1597
47.89.18.26 - - [29/Aug/2017:10:01:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E6%B1%BE%E9%85%92+OR+goodsEnName%3A%E6%B1%BE%E9%85%92+OR+categoryName%3A%E6%B1%BE%E9%85%92&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 1575
47.89.18.26 - - [29/Aug/2017:10:01:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E6%B1%BE%E9%85%92+OR+goodsEnName%3A%E6%B1%BE%E9%85%92+OR+categoryName%3A%E6%B1%BE%E9%85%92&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 1597
47.89.18.26 - - [29/Aug/2017:10:01:56 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 6186
47.89.18.26 - - [29/Aug/2017:10:01:56 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 6186
47.89.18.26 - - [29/Aug/2017:10:01:56 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 6164
47.89.18.26 - - [29/Aug/2017:10:02:03 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A15%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 6228
47.89.18.26 - - [29/Aug/2017:10:02:03 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A15%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 6206
47.89.18.26 - - [29/Aug/2017:10:02:04 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A15%E5%BA%A6+AND+goodsPropString%3A%E4%B8%AD%E5%9B%BD&wt=xml&version=2.2 HTTP/1.1" 200 1466
47.89.18.26 - - [29/Aug/2017:10:02:04 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A15%E5%BA%A6+AND+goodsPropString%3A%E4%B8%AD%E5%9B%BD&wt=xml&version=2.2 HTTP/1.1" 200 1488
47.89.18.26 - - [29/Aug/2017:10:02:06 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E4%B8%AD%E5%9B%BD+AND+goodsPropString%3A%E4%B8%AD&wt=xml&version=2.2 HTTP/1.1" 200 1464
47.89.18.26 - - [29/Aug/2017:10:02:06 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E4%B8%AD%E5%9B%BD+AND+goodsPropString%3A%E4%B8%AD&wt=xml&version=2.2 HTTP/1.1" 200 1486
47.89.18.26 - - [29/Aug/2017:10:02:40 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E4%B8%AD%E5%9B%BD&wt=xml&version=2.2 HTTP/1.1" 200 1463
47.89.18.26 - - [29/Aug/2017:10:02:40 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E4%B8%AD%E5%9B%BD&wt=xml&version=2.2 HTTP/1.1" 200 1441
47.89.18.26 - - [29/Aug/2017:10:03:17 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 6186
47.89.18.26 - - [29/Aug/2017:10:03:17 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 6164
47.89.18.26 - - [29/Aug/2017:10:03:25 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E5%A4%9A%E7%93%B6&wt=xml&version=2.2 HTTP/1.1" 200 5234
47.89.18.26 - - [29/Aug/2017:10:03:25 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E5%A4%9A%E7%93%B6&wt=xml&version=2.2 HTTP/1.1" 200 5212
47.89.18.26 - - [29/Aug/2017:10:03:36 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9&wt=xml&version=2.2 HTTP/1.1" 200 5237
47.89.18.26 - - [29/Aug/2017:10:03:36 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9&wt=xml&version=2.2 HTTP/1.1" 200 5215
47.89.18.26 - - [29/Aug/2017:10:03:40 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 5242
47.89.18.26 - - [29/Aug/2017:10:03:40 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 5264
47.89.18.26 - - [29/Aug/2017:10:03:45 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6+AND+goodsPropString%3A%E5%8D%95%E7%93%B6&wt=xml&version=2.2 HTTP/1.1" 200 5291
47.89.18.26 - - [29/Aug/2017:10:03:45 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6+AND+goodsPropString%3A%E5%8D%95%E7%93%B6&wt=xml&version=2.2 HTTP/1.1" 200 5269
47.89.18.26 - - [29/Aug/2017:10:03:48 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6+AND+goodsPropString%3A%E5%8D%95%E7%93%B6+AND+goodsPropString%3A%E5%93%88%E8%BF%AA&wt=xml&version=2.2 HTTP/1.1" 200 5296
47.89.18.26 - - [29/Aug/2017:10:03:48 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A%E6%84%8F%E5%A4%A7%E5%88%A9+AND+goodsPropString%3A2.3%E5%BA%A6+AND+goodsPropString%3A%E5%8D%95%E7%93%B6+AND+goodsPropString%3A%E5%93%88%E8%BF%AA&wt=xml&version=2.2 HTTP/1.1" 200 5318
47.89.18.26 - - [29/Aug/2017:10:04:43 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&rows=10000&fq=goodsPropString%3A1.5KG&wt=xml&version=2.2 HTTP/1.1" 200 4041
47.89.18.26 - - [29/Aug/2017:10:04:43 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E5%95%A4%E9%85%92+OR+goodsEnName%3A%E5%95%A4%E9%85%92+OR+categoryName%3A%E5%95%A4%E9%85%92&start=0&rows=60&fq=goodsPropString%3A1.5KG&wt=xml&version=2.2 HTTP/1.1" 200 4063
47.89.18.26 - - [29/Aug/2017:10:04:48 +0800] "GET /solr/yesmywine/select?q=categoryId%3A32+OR+categoryIdParent%3A32+OR+categoryIdGrandpa%3A32&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 6185
47.89.18.26 - - [29/Aug/2017:10:04:48 +0800] "GET /solr/yesmywine/select?q=categoryId%3A32+OR+categoryIdParent%3A32+OR+categoryIdGrandpa%3A32&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 6185
47.89.18.26 - - [29/Aug/2017:10:04:48 +0800] "GET /solr/yesmywine/select?q=categoryId%3A32+OR+categoryIdParent%3A32+OR+categoryIdGrandpa%3A32&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 6163
47.89.18.26 - - [29/Aug/2017:10:05:03 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 3143
47.89.18.26 - - [29/Aug/2017:10:05:03 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 3121
47.89.18.26 - - [29/Aug/2017:10:05:03 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3143
47.89.18.26 - - [29/Aug/2017:10:05:13 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84&wt=xml&version=2.2 HTTP/1.1" 200 3179
47.89.18.26 - - [29/Aug/2017:10:05:13 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=60&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84&wt=xml&version=2.2 HTTP/1.1" 200 3201
47.89.18.26 - - [29/Aug/2017:10:05:19 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML&wt=xml&version=2.2 HTTP/1.1" 200 3205
47.89.18.26 - - [29/Aug/2017:10:05:19 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=60&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML&wt=xml&version=2.2 HTTP/1.1" 200 3227
47.89.18.26 - - [29/Aug/2017:10:05:21 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=60&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML+AND+goodsPropString%3A%E4%B8%83%E6%88%90%E6%96%B0&wt=xml&version=2.2 HTTP/1.1" 200 3257
47.89.18.26 - - [29/Aug/2017:10:05:21 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML+AND+goodsPropString%3A%E4%B8%83%E6%88%90%E6%96%B0&wt=xml&version=2.2 HTTP/1.1" 200 3235
47.89.18.26 - - [29/Aug/2017:10:05:21 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&start=0&rows=60&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML+AND+goodsPropString%3A%E4%B8%83%E6%88%90%E6%96%B0+AND+goodsPropString%3A5.7%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 3284
47.89.18.26 - - [29/Aug/2017:10:05:21 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML+AND+goodsPropString%3A%E4%B8%83%E6%88%90%E6%96%B0+AND+goodsPropString%3A5.7%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 3262
47.89.18.26 - - [29/Aug/2017:10:05:24 +0800] "GET /solr/yesmywine/select?q=categoryId%3A59+OR+categoryIdParent%3A59+OR+categoryIdGrandpa%3A59&rows=10000&fq=goodsPropString%3A%E6%8B%89%E6%96%AF%E7%BB%B4%E5%8A%A0%E6%96%AF%E9%85%92%E5%BA%84+AND+goodsPropString%3A231ML+AND+goodsPropString%3A%E4%B8%83%E6%88%90%E6%96%B0+AND+goodsPropString%3A5.7%E5%BA%A6+AND+goodsPropString%3A2010&wt=xml&version=2.2 HTTP/1.1" 200 3287
