47.92.2.1 - - [12/Aug/2017:01:34:54 +0800] "GET / HTTP/1.1" 200 7783
47.93.127.220 - - [12/Aug/2017:02:56:31 +0800] "GET / HTTP/1.0" 200 7783
47.89.18.26 - - [12/Aug/2017:08:16:00 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:00 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:00 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&wt=xml&version=2.2 HTTP/1.1" 200 3230
47.89.18.26 - - [12/Aug/2017:08:16:21 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:21 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:21 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&wt=xml&version=2.2 HTTP/1.1" 200 3230
47.89.18.26 - - [12/Aug/2017:08:16:24 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:24 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 3280
47.89.18.26 - - [12/Aug/2017:08:16:24 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&wt=xml&version=2.2 HTTP/1.1" 200 3230
47.89.18.26 - - [12/Aug/2017:08:17:33 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+goodsEnName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999+OR+categoryName%3A%E4%BA%94%E7%B2%AE%E6%B6%B288999&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 3280
