114.215.45.79 - - [15/Aug/2017:01:24:50 +0800] "GET / HTTP/1.1" 200 7783
47.52.37.40 - - [15/Aug/2017:03:07:40 +0800] "GET / HTTP/1.0" 200 7783
47.89.18.26 - - [15/Aug/2017:10:04:35 +0800] "GET /solr/yesmywine/select?q=categoryId%3A2+OR+categoryIdParent%3A2+OR+categoryIdGrandpa%3A2&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 420
47.89.18.26 - - [15/Aug/2017:10:04:35 +0800] "GET /solr/yesmywine/select?q=categoryId%3A2+OR+categoryIdParent%3A2+OR+categoryIdGrandpa%3A2&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 420
47.89.18.26 - - [15/Aug/2017:10:04:35 +0800] "GET /solr/yesmywine/select?q=categoryId%3A2+OR+categoryIdParent%3A2+OR+categoryIdGrandpa%3A2&wt=xml&version=2.2 HTTP/1.1" 200 370
47.89.18.26 - - [15/Aug/2017:10:08:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+goodsEnName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+categoryName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 9524
47.89.18.26 - - [15/Aug/2017:10:08:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+goodsEnName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+categoryName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 9524
47.89.18.26 - - [15/Aug/2017:10:08:49 +0800] "GET /solr/yesmywine/select?q=goodsName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+goodsEnName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85+OR+categoryName%3A%E8%80%81%E7%99%BD%E5%B9%B2%E5%A5%97%E8%A3%85&wt=xml&version=2.2 HTTP/1.1" 200 9474
47.89.18.26 - - [15/Aug/2017:10:10:17 +0800] "GET /solr/yesmywine/select?q=categoryId%3A104+OR+categoryIdParent%3A104+OR+categoryIdGrandpa%3A104&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 426
47.89.18.26 - - [15/Aug/2017:10:11:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A8+OR+categoryIdParent%3A8+OR+categoryIdGrandpa%3A8&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 10644
47.89.18.26 - - [15/Aug/2017:10:11:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A8+OR+categoryIdParent%3A8+OR+categoryIdGrandpa%3A8&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 10644
