47.88.192.111 - - [10/Aug/2017:02:42:22 +0800] "GET / HTTP/1.0" 200 7783
116.62.176.205 - - [10/Aug/2017:03:17:36 +0800] "GET / HTTP/1.1" 200 7783
47.92.2.1 - - [10/Aug/2017:09:26:44 +0800] "GET / HTTP/1.1" 200 7783
47.89.18.26 - - [10/Aug/2017:10:12:19 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [10/Aug/2017:10:12:19 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [10/Aug/2017:10:13:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&wt=xml&version=2.2 HTTP/1.1" 200 17524
47.89.18.26 - - [10/Aug/2017:10:13:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 66325
47.89.18.26 - - [10/Aug/2017:10:13:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 17574
47.89.18.26 - - [10/Aug/2017:10:14:04 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 66325
47.89.18.26 - - [10/Aug/2017:10:14:04 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 17574
47.89.18.26 - - [10/Aug/2017:10:14:04 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&wt=xml&version=2.2 HTTP/1.1" 200 17524
47.89.18.26 - - [10/Aug/2017:10:14:09 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&sort=salePrice+desc&wt=xml&version=2.2 HTTP/1.1" 200 66362
47.89.18.26 - - [10/Aug/2017:10:14:10 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&sort=salePrice+asc&wt=xml&version=2.2 HTTP/1.1" 200 66361
47.89.18.26 - - [10/Aug/2017:10:14:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&sort=salePrice+desc&wt=xml&version=2.2 HTTP/1.1" 200 66362
47.89.18.26 - - [10/Aug/2017:10:14:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&sort=salePrice+asc&wt=xml&version=2.2 HTTP/1.1" 200 66361
47.89.18.26 - - [10/Aug/2017:10:21:49 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [10/Aug/2017:10:21:49 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
47.89.18.26 - - [10/Aug/2017:10:25:59 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 17574
47.89.18.26 - - [10/Aug/2017:10:25:59 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&wt=xml&version=2.2 HTTP/1.1" 200 17524
47.89.18.26 - - [10/Aug/2017:10:25:59 +0800] "GET /solr/yesmywine/select?q=categoryId%3A5+OR+categoryIdParent%3A5+OR+categoryIdGrandpa%3A5&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 66260
47.89.18.26 - - [10/Aug/2017:10:26:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 7575
47.89.18.26 - - [10/Aug/2017:10:26:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 7575
47.89.18.26 - - [10/Aug/2017:10:26:20 +0800] "GET /solr/yesmywine/select?q=categoryId%3A31+OR+categoryIdParent%3A31+OR+categoryIdGrandpa%3A31&wt=xml&version=2.2 HTTP/1.1" 200 7525
47.89.18.26 - - [10/Aug/2017:11:19:29 +0800] "POST /solr/yesmywine/update?wt=xml&version=2.2 HTTP/1.1" 200 158
47.89.18.26 - - [10/Aug/2017:11:19:29 +0800] "POST /solr/yesmywine/update HTTP/1.1" 200 159
